
2022/06/30 (12:53:42) | ===> btop++ v.1.2.3
2022/06/30 (12:53:42) | ERROR: Failed to get size of terminal!

2025/01/30 (21:20:20) | ===> btop++ v.1.4.0
2025/01/30 (21:20:20) | INFO: Logger set to INFO
2025/01/30 (21:20:22) | INFO: Logger set to DEBUG
2025/01/30 (21:20:23) | INFO: Logger set to INFO

2025/01/30 (21:28:53) | ===> btop++ v.1.4.0
2025/01/30 (21:28:53) | ERROR: Exception during Config::unlock() : unordered_map::at

2025/01/30 (21:29:02) | ===> btop++ v.1.4.0
2025/01/30 (21:29:02) | ERROR: Exception during Config::unlock() : unordered_map::at
